x,y,is_header,under_pressure,num_defenders,num_teammates,gk_x,gk_y,on_target,placement_y,placement_z,is_goal
99.5,23.0,0,1,7,6,118.6,37.3,0,40.0,0.0,0
97.2,31.2,0,1,7,2,117.9,38.9,1,38.8,0.2,0
111.6,44.5,0,1,8,5,117.6,41.7,1,41.7,1.9,0
95.5,34.0,0,1,8,4,117.6,39.2,0,40.0,0.0,0
109.6,34.7,1,1,10,7,118.4,39.0,0,40.0,0.0,0
88.9,36.5,0,1,8,4,118.6,40.2,1,41.2,0.2,0
105.5,25.4,0,1,7,4,118.2,37.5,0,40.0,0.0,0
105.7,38.8,0,1,10,5,119.2,40.1,0,40.0,0.0,0
86.4,48.2,0,1,10,9,119.1,41.8,1,41.9,0.9,0
110.0,49.7,0,1,4,1,117.7,43.6,1,44.1,1.4,0
97.2,48.0,0,1,9,6,118.5,38.7,1,36.0,1.8,0
111.0,36.2,1,1,8,5,115.1,37.2,1,37.2,0.8,0
114.4,39.9,1,1,8,4,115.4,39.5,0,40.0,0.0,0
104.6,33.1,0,1,9,6,118.7,39.0,0,40.0,0.0,0
107.1,29.4,0,1,5,3,118.6,37.0,0,40.0,0.0,0
90.5,45.6,0,1,7,5,117.6,41.0,0,40.0,0.0,0
100.8,38.5,0,1,9,5,118.6,39.1,0,40.0,0.0,0
99.5,49.3,0,1,6,4,118.4,40.4,1,38.3,0.2,0
85.8,53.5,0,1,10,7,117.8,40.4,0,40.0,0.0,0
104.0,53.9,0,1,8,5,118.1,42.4,0,40.0,0.0,0
98.6,51.1,0,1,9,6,116.9,42.2,0,40.0,0.0,0
101.7,30.8,0,1,9,6,116.6,39.5,1,39.2,1.8,0
99.5,36.2,0,1,7,6,116.3,39.6,0,40.0,0.0,0
99.1,39.0,0,1,7,7,117.3,40.4,0,40.0,0.0,0
89.9,45.0,0,1,10,6,118.5,41.6,0,40.0,0.0,0
114.4,52.4,0,1,7,4,117.9,43.7,1,45.7,0.9,0
98.3,52.1,0,1,5,4,116.3,42.1,0,40.0,0.0,0
99.2,46.5,0,1,6,2,114.9,42.4,0,40.0,0.0,0
91.4,24.9,0,1,7,5,116.5,37.9,0,40.0,0.0,0
95.1,37.5,0,1,7,6,115.9,40.0,1,43.3,0.2,1
104.8,45.3,0,1,2,3,109.8,43.7,1,40.6,0.6,1
112.3,29.9,0,1,7,4,116.7,34.1,0,40.0,0.0,0
110.9,41.0,1,1,9,6,118.7,41.6,1,42.9,1.0,0
95.1,52.3,0,1,9,5,117.2,41.1,1,41.8,1.1,0
99.9,53.4,0,1,8,5,116.5,43.0,0,40.0,0.0,0
97.9,19.8,0,1,8,5,118.8,40.0,0,40.0,0.0,0
114.8,22.4,0,1,7,4,118.0,34.4,0,40.0,0.0,0
103.3,37.8,0,1,5,3,111.0,38.7,1,43.3,0.3,1
111.3,41.5,1,1,10,8,119.4,40.5,0,40.0,0.0,0
113.8,47.7,0,1,10,6,118.8,42.2,0,40.0,0.0,0
95.9,53.5,0,1,10,7,117.7,40.7,1,38.5,0.9,0
108.7,29.1,0,1,9,5,118.5,36.9,0,40.0,0.0,0
116.8,24.7,0,1,9,4,119.2,35.9,1,35.3,1.6,0
96.4,37.1,0,1,10,4,115.4,39.6,0,40.0,0.0,0
95.6,30.2,0,1,10,8,118.2,40.9,0,40.0,0.0,0
87.6,15.0,0,1,10,9,119.6,40.5,1,39.9,1.8,0
104.0,39.5,0,1,5,1,107.0,39.6,1,39.7,0.7,0
97.4,54.6,0,1,10,8,116.4,40.6,0,40.0,0.0,0
120.0,54.6,1,1,10,6,118.6,44.3,0,40.0,0.0,0
98.2,19.5,0,1,10,8,117.2,37.4,0,40.0,0.0,0
105.5,47.4,0,1,8,5,116.2,41.8,0,40.0,0.0,0
94.1,47.0,0,1,10,7,116.6,41.7,0,40.0,0.0,0
108.4,35.0,0,1,8,4,117.6,39.3,0,40.0,0.0,0
101.5,35.7,0,1,9,6,116.9,37.9,0,40.0,0.0,0
101.2,27.6,0,1,9,7,116.6,37.2,0,40.0,0.0,0
112.8,55.4,1,1,10,6,117.9,42.5,1,39.9,2.4,0
100.7,51.3,0,1,10,7,117.6,42.2,0,40.0,0.0,0
96.1,29.3,0,1,10,8,117.0,39.3,1,43.8,2.2,1
114.5,34.1,0,1,5,4,118.0,39.4,1,38.7,0.2,1
90.1,22.3,0,1,9,6,117.9,40.0,1,38.7,1.4,0
109.9,50.3,0,1,6,4,117.1,43.7,1,41.4,0.2,1
110.3,52.4,0,1,6,4,116.3,44.6,1,45.5,0.2,0
104.5,57.3,0,1,6,5,117.7,43.4,0,40.0,0.0,0
104.3,32.8,0,1,4,3,115.1,38.6,1,39.5,0.2,0
112.7,29.3,0,1,6,4,116.8,36.1,0,40.0,0.0,0
116.1,39.5,0,1,6,4,116.4,35.3,0,40.0,0.0,0
92.6,52.6,0,1,10,8,119.1,39.7,0,40.0,0.0,0
98.3,26.1,0,1,10,6,117.6,37.9,0,40.0,0.0,0
102.1,34.6,0,1,7,3,117.2,39.2,0,40.0,0.0,0
114.4,43.9,0,1,9,5,118.7,40.8,1,42.4,2.8,0
111.0,48.5,0,1,7,5,117.7,43.2,0,40.0,0.0,0
109.4,22.7,0,1,4,2,118.7,35.8,1,35.9,1.5,0
108.7,32.1,0,1,4,1,118.1,37.2,0,40.0,0.0,0
88.1,28.2,0,1,9,6,118.4,40.4,0,40.0,0.0,0
98.8,59.8,0,1,9,5,118.0,42.9,0,40.0,0.0,0
110.6,53.8,0,1,5,3,117.2,43.0,1,43.3,0.5,0
113.3,38.7,1,1,8,6,119.1,38.9,0,40.0,0.0,0
105.2,53.5,0,1,6,5,117.6,43.8,0,40.0,0.0,0
114.7,38.7,1,1,8,6,119.2,40.2,0,40.0,0.0,0
111.9,39.5,0,1,7,4,118.9,41.8,1,41.5,1.0,1
116.1,35.1,1,1,8,5,116.7,35.9,1,35.8,1.9,0
119.2,47.9,0,1,7,5,119.4,45.1,1,45.2,0.6,0
107.5,44.3,1,1,9,6,118.5,41.1,1,42.9,1.6,0
107.5,41.8,0,1,6,4,119.2,42.3,1,43.3,1.3,0
96.2,37.3,0,1,8,4,118.9,41.5,1,42.9,0.2,0
108.0,45.8,0,1,4,1,117.5,41.2,0,40.0,0.0,0
96.6,34.3,0,1,10,8,119.2,39.4,0,40.0,0.0,0
98.1,36.6,0,1,8,6,115.1,38.8,0,40.0,0.0,0
107.7,39.2,0,1,6,2,109.3,39.5,1,39.3,0.7,0
116.3,43.7,1,1,10,6,119.2,39.7,0,40.0,0.0,0
104.2,35.6,0,1,9,5,118.1,38.5,0,40.0,0.0,0
99.9,32.5,0,1,10,7,116.9,38.9,1,38.1,0.3,0
110.0,25.1,0,1,8,4,117.6,36.2,0,40.0,0.0,0
88.8,44.2,0,1,10,9,117.5,40.3,0,40.0,0.0,0
92.9,31.0,0,1,5,3,116.7,37.3,0,40.0,0.0,0
108.1,40.1,0,1,0,0,119.0,40.0,1,37.8,1.6,1
91.1,47.3,0,1,9,6,116.9,41.2,0,40.0,0.0,0
92.4,52.5,0,1,10,7,116.8,41.2,0,40.0,0.0,0
90.8,34.5,0,1,8,5,117.2,40.1,1,40.0,2.1,0
115.6,39.8,0,1,5,3,118.1,36.9,1,39.3,1.3,1
107.5,52.6,0,1,5,2,110.3,49.2,1,37.0,0.9,1
111.7,28.3,0,1,6,4,116.8,36.4,1,43.8,0.2,1
113.5,40.2,1,1,5,3,117.8,40.1,1,42.7,1.1,1
106.9,30.6,1,1,9,6,117.0,39.6,0,40.0,0.0,0
95.5,29.9,0,1,7,4,117.5,38.5,0,40.0,0.0,0
103.3,12.6,0,1,10,7,118.2,37.6,0,40.0,0.0,0
107.0,27.1,0,1,7,5,117.3,36.1,0,40.0,0.0,0
103.2,34.3,0,1,9,7,116.1,42.0,0,40.0,0.0,0
97.5,44.1,0,1,8,5,117.2,39.9,0,40.0,0.0,0
112.8,32.9,1,1,8,6,118.4,38.4,0,40.0,0.0,0
98.3,44.3,0,1,10,7,115.4,40.8,0,40.0,0.0,0
102.7,25.9,0,1,8,5,117.7,37.6,0,40.0,0.0,0
109.4,38.0,1,1,10,6,118.5,40.0,0,40.0,0.0,0
100.9,48.4,0,1,8,7,117.0,41.4,0,40.0,0.0,0
100.0,56.6,0,1,8,7,117.4,41.9,0,40.0,0.0,0
84.7,54.0,0,1,10,8,116.6,41.3,1,39.9,0.3,0
97.2,47.3,0,1,9,7,117.7,40.9,0,40.0,0.0,0
111.1,40.2,1,1,10,8,118.4,39.8,0,40.0,0.0,0
96.9,57.9,0,1,6,4,116.3,42.7,0,40.0,0.0,0
115.2,50.5,0,1,6,4,119.4,41.2,0,40.0,0.0,0
95.3,32.8,0,1,9,6,117.3,39.0,0,40.0,0.0,0
107.6,56.5,0,1,5,3,118.3,43.6,1,44.2,0.3,0
103.3,40.4,0,1,7,4,119.2,39.6,1,39.8,1.8,0
104.3,31.7,0,1,7,5,117.8,37.9,0,40.0,0.0,0
